# ksw_extend2 profile v1
# sample_stride	64
# samples_stored	26294
# calls	1682797
# total_dp_cells	5337376551
# total_rows	121291518
# qlen_bins	<=8 <=16 <=32 <=64 <=96 <=128 <=160 <=192 <=256 <=512 >512
# qlen_counts	136256	127088	201450	353504	581682	263052	19765	0	0	0	0
# tlen_bins	<=16 <=32 <=64 <=128 <=256 <=512 <=1024 <=2048 >2048
# tlen_counts	139193	110187	183378	364902	877545	7547	45	0	0
# requested_w_bins	<=4 <=8 <=16 <=32 <=64 <=128 <=256 >256
# requested_w_counts	0	0	0	0	0	1682797	0	0
# dp_cell_bins	<=64 <=128 <=256 <=512 <=1024 <=2048 <=4096 <=8192 <=16384 <=32768 >32768
# dp_cell_counts	124661	36948	199622	219703	178895	176658	195588	319292	231430	0	0
sample_index	qlen	tlen	requested_w	effective_w	rows	dp_cells	max_score
535	64	123	100	64	123	6161	142
536	89	173	100	89	173	9733	102
537	39	141	100	39	79	2301	137
538	86	167	100	86	73	3818	51
539	72	139	100	72	26	469	20
540	81	194	100	81	163	9472	129
541	31	57	100	31	57	1442	123
542	87	169	100	87	169	9951	101
543	4	5	100	4	5	20	25
544	29	53	100	29	33	747	28
545	25	45	100	25	45	930	37
546	123	241	100	100	91	4928	56
547	25	45	100	25	12	100	19
548	58	111	100	58	56	1327	24
549	79	153	100	79	153	8845	105
550	7	9	100	7	9	62	20
551	7	9	100	7	9	62	102
552	115	225	100	100	70	2125	31
553	25	45	100	25	45	930	37
554	1	108	100	1	3	2	110
555	123	241	100	100	84	4354	51
556	51	167	100	51	101	2715	60
557	44	83	100	44	83	2911	105
558	123	241	100	100	92	5492	56
559	91	177	100	91	177	10577	117
560	87	169	100	87	169	9951	101
561	93	181	100	93	32	740	37
562	29	53	100	29	53	1261	127
563	60	115	100	60	79	3092	42
564	7	9	100	7	9	62	112
565	39	141	100	39	79	2301	137
566	19	33	100	19	12	119	19
567	25	45	100	25	45	930	37
568	84	208	100	84	169	9775	124
569	39	141	100	39	79	2301	137
570	93	181	100	93	32	740	37
571	1	2	100	1	2	2	70
572	93	181	100	93	32	740	37
573	1	2	100	1	2	2	26
574	79	153	100	79	153	8845	105
575	1	2	100	1	2	2	65
576	37	69	100	37	69	2057	93
577	9	13	100	9	13	111	20
578	1	2	100	1	2	2	26
579	17	29	100	17	29	427	50
580	16	140	100	16	33	392	139
