# ksw_extend2 profile v1
# sample_stride	64
# samples_stored	11102
# calls	710528
# total_dp_cells	578638455
# total_rows	23510511
# qlen_bins	<=8 <=16 <=32 <=64 <=96 <=128 <=160 <=192 <=256 <=512 >512
# qlen_counts	60559	57733	135286	297264	159686	0	0	0	0	0	0
# tlen_bins	<=16 <=32 <=64 <=128 <=256 <=512 <=1024 <=2048 >2048
# tlen_counts	52439	40800	129328	333410	154315	185	47	4	0
# requested_w_bins	<=4 <=8 <=16 <=32 <=64 <=128 <=256 >256
# requested_w_counts	0	0	0	0	0	710528	0	0
# dp_cell_bins	<=64 <=128 <=256 <=512 <=1024 <=2048 <=4096 <=8192 <=16384 <=32768 >32768
# dp_cell_counts	49874	54477	208019	81505	153408	72146	78621	12478	0	0	0
sample_index	qlen	tlen	requested_w	effective_w	rows	dp_cells	max_score
399	30	55	100	30	55	1350	86
400	20	95	100	20	41	610	95
401	18	94	100	18	37	495	90
402	12	19	100	12	19	207	95
403	49	119	100	49	99	3577	85
404	35	65	100	35	65	1840	90
405	9	40	100	9	19	126	95
406	50	95	100	50	95	3680	76
407	6	58	100	6	13	57	95
408	73	141	100	73	102	3530	40
409	17	29	100	17	29	427	95
410	18	31	100	18	31	480	95
411	50	95	100	50	95	3735	86
412	16	91	100	16	33	392	95
413	6	56	100	6	13	57	68
414	74	143	100	74	132	4456	65
415	12	87	100	12	25	222	95
416	52	99	100	52	99	3992	90
417	45	120	100	45	91	3060	90
418	60	115	100	60	115	3308	71
419	33	108	100	33	67	1650	90
420	38	71	100	38	71	2170	95
421	7	66	100	7	15	77	95
422	34	63	100	34	63	1736	95
423	60	115	100	60	115	4719	85
424	27	49	100	27	49	1092	68
425	69	133	100	69	133	5321	85
426	23	41	100	23	41	781	42
427	65	125	100	65	125	4761	71
428	32	59	100	32	59	1537	95
429	18	78	100	18	37	495	88
430	21	69	100	21	43	672	95
431	15	90	100	15	31	345	86
432	8	84	100	8	17	100	85
433	19	33	100	19	33	536	95
434	34	63	100	34	63	1677	59
435	10	15	100	10	15	140	95
436	18	31	100	18	31	480	38
437	7	9	100	7	9	62	86
438	32	59	100	32	59	1537	95
439	38	110	100	38	77	2185	85
440	6	81	100	6	13	57	95
441	20	35	100	20	35	595	95
442	33	61	100	33	61	1635	95
443	52	99	100	52	99	3750	75
444	33	61	100	33	61	1635	80
445	41	114	100	41	83	2542	95
446	69	133	100	69	74	2100	30
447	44	83	100	44	83	2911	93
448	35	65	100	35	65	1840	95
449	39	73	100	39	73	2286	95
450	69	133	100	69	74	2267	30
451	49	93	100	49	93	3565	90
452	46	110	100	46	93	3196	70
453	37	87	100	37	75	1640	51
454	35	65	100	35	65	1840	67
455	20	35	100	20	35	595	69
456	57	109	100	57	109	4596	89
457	57	109	100	57	109	4596	90
458	2	25	100	2	5	7	93
459	64	123	100	64	123	5007	91
460	10	42	100	10	21	155	95
461	44	106	100	44	89	2926	85
462	46	88	100	46	88	3186	93
463	37	98	100	37	75	2072	85
464	69	133	100	69	108	3414	47
465	47	89	100	47	89	3322	95
466	2	3	100	2	3	6	98
467	8	82	100	8	17	100	92
468	9	13	100	9	13	111	91
469	60	115	100	60	115	4719	90
470	18	82	100	18	37	495	95
471	9	84	100	9	19	126	90
472	21	37	100	21	37	657	95
473	56	131	100	56	113	4310	90
474	2	49	100	2	5	7	93
475	16	35	100	16	33	392	84
476	25	45	100	25	45	935	95
477	2	3	100	2	3	6	98
478	17	72	100	17	35	442	75
479	16	91	100	16	33	392	84
480	41	77	100	41	77	2521	80
481	5	6	100	5	6	30	95
482	15	90	100	15	31	345	85
483	19	90	100	19	39	551	89
484	2	63	100	2	5	7	93
485	34	63	100	34	63	1736	70
486	33	61	100	33	61	1558	56
487	78	151	100	78	119	4306	53
488	33	61	100	33	61	1558	56
489	69	133	100	69	133	5523	95
490	18	31	100	18	31	480	95
491	30	83	100	30	61	1365	95
492	40	115	100	40	81	2420	95
493	49	124	100	49	99	3570	90
494	58	111	100	58	111	4532	90
495	27	49	100	27	49	1092	95
496	29	53	100	29	53	1261	91
497	27	49	100	27	49	1092	95
498	6	7	100	6	7	42	95
499	61	214	100	61	84	2221	33
500	13	21	100	13	21	245	95
501	23	41	100	23	41	790	74
502	45	120	100	45	91	3060	95
503	40	75	100	40	75	2405	82
504	21	88	100	21	43	672	99
505	11	17	100	11	17	172	95
506	16	71	100	16	33	392	93
507	18	31	100	18	31	480	49
508	18	31	100	18	31	480	41
509	36	67	100	36	67	1947	95
510	28	51	100	28	51	1175	92
511	76	147	100	76	131	4584	62
512	76	147	100	76	131	4585	62
513	16	27	100	16	27	377	95
514	30	55	100	30	55	1350	95
515	49	93	100	49	93	3516	87
516	58	111	100	58	111	4707	95
517	31	106	100	31	56	1424	69
518	1	76	100	1	3	2	95
519	52	99	100	52	99	3988	85
520	50	121	100	50	101	3750	95
521	72	139	100	72	21	288	28
522	40	97	100	40	81	1999	57
523	22	39	100	22	39	722	90
524	49	93	100	49	13	201	19
525	47	120	100	47	95	3328	95
526	30	55	100	30	55	1350	76
527	4	60	100	4	9	26	96
528	47	120	100	47	95	3328	95
529	3	4	100	3	4	12	97
530	39	73	100	39	73	2286	96
531	23	41	100	23	41	790	70
532	7	9	100	7	9	62	93
533	60	115	100	60	115	4719	90
534	3	4	100	3	4	12	97
535	7	9	100	7	9	62	95
536	28	96	100	28	57	1190	90
537	20	35	100	20	35	595	65
538	53	127	100	53	107	4035	90
539	42	79	100	42	79	2652	95
540	24	43	100	24	43	861	95
541	32	59	100	32	59	1537	95
542	46	116	100	46	93	3197	95
543	25	90	100	25	51	950	95
544	14	23	100	14	23	286	95
545	79	153	100	79	111	3671	43
546	11	73	100	11	23	187	95
547	54	110	100	54	109	4155	90
548	42	79	100	42	79	2652	95
549	42	93	100	42	85	2667	95
550	45	120	100	45	91	3060	95
551	42	93	100	42	85	2667	93
552	46	87	100	46	87	3182	94
553	21	37	100	21	37	657	95
554	49	93	100	49	93	3533	93
555	13	21	100	13	21	245	95
556	28	51	100	28	51	1175	95
557	7	9	100	7	9	62	88
558	23	41	100	23	41	790	85
559	23	41	100	23	41	790	85
560	23	41	100	23	41	790	82
561	18	31	100	18	31	480	67
562	55	105	100	55	105	4036	72
563	15	25	100	15	25	330	69
564	3	4	100	3	4	12	95
565	23	41	100	23	41	790	70
566	5	6	100	5	6	30	95
567	25	45	100	25	45	935	78
568	40	75	100	40	75	2399	78
569	17	92	100	17	35	442	89
570	13	21	100	13	21	245	95
571	72	139	100	72	139	5281	85
572	32	59	100	32	59	1537	95
573	16	51	100	16	33	392	95
574	49	93	100	49	93	3581	93
575	27	62	100	27	55	1107	81
576	9	50	100	9	19	126	95
577	20	35	100	20	35	595	60
578	7	81	100	7	15	77	93
579	18	66	100	18	37	495	95
580	19	85	100	19	39	551	95
581	55	130	100	55	111	4380	95
582	26	47	100	26	47	1012	82
583	26	47	100	26	47	1012	88
584	42	79	100	42	79	2652	85
585	21	37	100	21	37	580	31
586	12	19	100	12	19	207	95
587	42	79	100	42	79	2652	95
588	20	95	100	20	41	610	95
589	51	126	100	51	103	3812	85
590	18	44	100	18	37	495	82
591	29	104	100	29	59	1276	88
592	16	40	100	16	33	392	95
593	28	86	100	28	57	1190	71
594	30	55	100	30	55	1350	71
595	22	39	100	22	39	722	85
596	32	107	100	32	65	1552	95
597	74	143	100	74	27	564	21
598	73	141	100	73	132	4167	65
599	16	35	100	16	33	392	84
600	39	73	100	39	73	2286	94
601	10	28	100	10	21	155	90
602	4	5	100	4	5	20	96
603	18	93	100	18	37	495	95
604	23	98	100	23	47	805	77
605	31	106	100	31	63	1457	85
606	34	109	100	34	69	1751	95
607	18	44	100	18	37	495	82
608	5	75	100	5	11	40	90
609	23	98	100	23	47	805	77
610	69	133	100	69	26	675	31
611	20	70	100	20	41	610	50
612	11	17	100	11	17	172	51
613	50	124	100	50	91	2395	51
614	22	87	100	22	45	737	68
615	18	44	100	18	37	495	82
616	3	78	100	3	7	15	97
617	70	135	100	70	135	5721	95
618	7	54	100	7	15	77	70
619	49	93	100	49	93	3426	83
620	19	33	100	19	33	536	90
621	49	93	100	49	93	3467	81
622	70	135	100	70	135	5730	90
623	69	133	100	69	86	2608	31
624	20	35	100	20	11	140	19
625	27	100	100	27	55	1107	69
626	46	87	100	46	87	3181	95
627	20	95	100	20	41	610	85
628	10	52	100	10	21	155	90
629	10	52	100	10	21	155	95
630	30	55	100	30	55	1350	95
631	20	85	100	20	41	610	42
632	16	91	100	16	33	392	84
633	9	13	100	9	13	111	84
634	43	118	100	43	87	2795	95
635	43	81	100	43	81	2780	85
636	18	31	100	18	31	480	95
637	26	47	100	26	47	1012	95
638	39	108	100	39	79	2301	85
639	27	49	100	27	49	1092	85
640	39	108	100	39	79	2301	85
641	27	49	100	27	49	1092	95
642	22	85	100	22	45	737	95
643	20	35	100	20	35	595	90
644	42	79	100	42	79	2652	95
645	18	31	100	18	31	480	95
646	48	123	100	48	97	3452	95
647	27	49	100	27	49	1092	66
648	51	97	100	51	97	3621	83
649	16	27	100	16	27	377	95
650	17	42	100	17	35	442	83
651	2	3	100	2	3	6	98
652	32	93	100	32	65	1552	90
653	20	35	100	20	35	595	95
654	56	107	100	56	107	4115	68
655	20	35	100	20	35	595	39
656	15	25	100	15	25	330	95
657	49	93	100	49	93	3426	83
658	46	87	100	46	87	3176	95
659	20	73	100	20	41	610	53
660	12	87	100	12	25	222	92
661	38	71	100	38	71	2170	75
662	36	111	100	36	73	1962	95
663	42	79	100	42	79	2652	90
664	54	103	100	54	103	4245	97
665	23	98	100	23	47	805	85
