# ksw_extend2 profile v1
# sample_stride	64
# samples_stored	7048
# calls	451066
# total_dp_cells	221984606
# total_rows	11862913
# qlen_bins	<=8 <=16 <=32 <=64 <=96 <=128 <=160 <=192 <=256 <=512 >512
# qlen_counts	47934	57495	216640	128997	0	0	0	0	0	0	0
# tlen_bins	<=16 <=32 <=64 <=128 <=256 <=512 <=1024 <=2048 >2048
# tlen_counts	52569	58080	225082	112993	1963	299	73	7	0
# requested_w_bins	<=4 <=8 <=16 <=32 <=64 <=128 <=256 >256
# requested_w_counts	0	0	0	0	0	451066	0	0
# dp_cell_bins	<=64 <=128 <=256 <=512 <=1024 <=2048 <=4096 <=8192 <=16384 <=32768 >32768
# dp_cell_counts	41415	50883	153430	62827	67581	69520	5410	0	0	0	0
sample_index	qlen	tlen	requested_w	effective_w	rows	dp_cells	max_score
654	19	33	100	19	31	460	37
655	52	99	100	52	66	1771	36
656	16	27	100	16	27	377	41
657	55	105	100	55	16	178	20
658	23	41	100	23	14	132	19
659	45	168	100	45	89	2106	54
660	17	29	100	17	14	156	22
661	40	75	100	40	49	1634	39
662	20	35	100	20	35	592	44
663	40	75	100	40	65	1854	39
664	45	168	100	45	89	2106	54
665	29	53	100	29	12	171	21
666	33	61	100	33	22	325	22
667	26	47	100	26	15	150	20
668	20	35	100	20	14	129	19
669	32	59	100	32	57	1155	32
670	20	35	100	20	35	591	33
671	43	81	100	43	70	2051	41
672	18	31	100	18	22	307	21
673	34	63	100	34	20	485	25
674	23	41	100	23	41	790	60
675	34	63	100	34	14	153	19
676	55	105	100	55	105	3309	75
677	50	95	100	50	22	449	25
678	1	2	100	1	2	2	25
679	26	47	100	26	18	260	20
680	7	9	100	7	9	62	24
681	31	57	100	31	14	130	19
682	26	47	100	26	19	255	25
683	25	45	100	25	13	130	19
684	18	52	100	18	27	220	20
685	25	45	100	25	14	164	19
686	25	45	100	25	13	94	19
687	16	27	100	16	18	205	21
688	40	77	100	40	77	1857	55
689	36	67	100	36	18	268	19
690	17	29	100	17	15	165	21
691	13	21	100	13	21	245	45
692	36	67	100	36	14	147	19
693	53	115	100	53	107	2731	65
694	10	57	100	10	21	155	70
695	37	69	100	37	15	179	19
696	32	59	100	32	59	1537	66
697	44	83	100	44	16	209	20
698	34	63	100	34	63	1732	70
699	23	41	100	23	17	220	19
700	28	51	100	28	11	148	20
701	21	37	100	21	14	154	20
702	37	69	100	37	14	160	19
703	19	33	100	19	33	536	56
704	19	33	100	19	13	164	19
705	21	37	100	21	15	134	20
706	34	63	100	34	13	179	19
707	33	61	100	33	13	130	19
708	29	53	100	29	13	103	20
709	9	13	100	9	13	111	70
710	18	31	100	18	15	204	20
711	20	35	100	20	17	239	22
712	24	108	100	24	40	628	26
713	29	53	100	29	11	109	19
714	24	43	100	24	15	171	21
715	20	35	100	20	35	595	36
716	35	65	100	35	15	175	19
717	24	43	100	24	16	184	19
718	31	57	100	31	17	178	21
719	19	33	100	19	17	177	19
720	29	53	100	29	10	149	19
721	34	63	100	34	13	163	19
722	21	37	100	21	16	162	19
723	18	31	100	18	14	197	20
724	26	47	100	26	47	1012	59
725	28	51	100	28	41	982	38
726	33	61	100	33	12	172	21
727	33	61	100	33	61	1635	70
728	32	59	100	32	19	252	23
729	33	61	100	33	61	1575	44
730	9	13	100	9	13	111	38
