variant	dataset	read_mode	region	parent	depth	cycles_avg	cycles_min	cycles_max	instructions_avg	instructions_min	instructions_max	global_loads_avg	global_loads_min	global_loads_max	global_stores_avg	global_stores_min	global_stores_max	dcache_accesses_avg	dcache_accesses_min	dcache_accesses_max	dcache_misses_avg	dcache_misses_min	dcache_misses_max	memory_barrier_wait_cycles_avg	memory_barrier_wait_cycles_min	memory_barrier_wait_cycles_max	instruction_buffer_empty_cycles_avg	instruction_buffer_empty_cycles_min	instruction_buffer_empty_cycles_max	cpi_avg
optimized	ERR1203383	PE	MATE_REF_FETCH	MATE_RESCUE	3	21000000	17000000	26000000	14000000	11000000	17000000	0	0	0	0	0	0	2146000	1661000	2645000	2724	2232	3399	0	0	0	2162000	1783000	2553000	1.500000
optimized	ERR1203383	PE	MATE_KSW_ALIGN	MATE_RESCUE	3	1058000000	820000000	1293000000	832000000	645000000	1019000000	0	0	0	0	0	0	93000000	72000000	114000000	6348	5146	9132	0	0	0	81000000	62000000	101000000	1.271635
optimized	ERR1203383	PE	KSW_QUERY_INIT_FORWARD	MATE_KSW_ALIGN	4	34000000	27000000	41000000	13000000	10000000	16000000	0	0	0	0	0	0	2908000	2248000	3585000	1912	1537	2367	0	0	0	6831000	5282000	8339000	2.615385
optimized	ERR1203383	PE	KSW_DP_FORWARD	MATE_KSW_ALIGN	4	870000000	671000000	1071000000	720000000	556000000	886000000	0	0	0	0	0	0	77000000	59000000	94000000	2232	1852	3272	0	0	0	58000000	44000000	72000000	1.208333
optimized	ERR1203383	PE	KSW_QUERY_INIT_REVERSE	MATE_KSW_ALIGN	4	20000000	14000000	25000000	7389000	5452000	9463000	0	0	0	0	0	0	1624000	1199000	2087000	158	104	223	0	0	0	5086000	3670000	6555000	2.706726
optimized	ERR1203383	PE	KSW_DP_REVERSE	MATE_KSW_ALIGN	4	119000000	84000000	155000000	87000000	62000000	114000000	0	0	0	0	0	0	9971000	7028000	13000000	114	65	185	0	0	0	6871000	5003000	8690000	1.367816
optimized	ERR1203383	PE	MATE_DEDUP	MATE_RESCUE	3	409000000	152000000	1121000000	206000000	79000000	583000000	0	0	0	0	0	0	33000000	12000000	91000000	92	15	365	0	0	0	74000000	30000000	187000000	1.985437
optimized	ERR1203383	SE	WORKER_ALIGNMENT		0	3829000000	3825000000	3869000000	1057000000	1023000000	1103000000	2593	2428	2737	0	0	0	89000000	82000000	99000000	1608000	1557000	1650000	12	0	773	1411000000	1372000000	1448000000	3.622517
optimized	ERR1203383	SE	MEM_CHAIN	WORKER_ALIGNMENT	1	2552000000	2468000000	2618000000	766000000	739000000	791000000	0	0	0	0	0	0	44000000	42000000	45000000	1515000	1463000	1556000	0	0	0	639000000	607000000	669000000	3.331593
optimized	ERR1203383	SE	CHAIN_FILTER	WORKER_ALIGNMENT	1	125000000	96000000	170000000	28000000	14000000	52000000	0	0	0	0	0	0	6295000	2682000	12000000	2490	1814	4339	0	0	0	73000000	69000000	76000000	4.464286
optimized	ERR1203383	SE	CHAIN_EXTENSION	WORKER_ALIGNMENT	1	479000000	421000000	554000000	183000000	147000000	234000000	0	0	0	0	0	0	27000000	22000000	34000000	25000	22000	31000	0	0	0	235000000	217000000	259000000	2.617486
optimized	ERR1203383	SE	ALIGNMENT_FINALIZE	WORKER_ALIGNMENT	1	56000000	48000000	66000000	14000000	9878000	20000000	0	0	0	0	0	0	2116000	1449000	3101000	47	20	148	0	0	0	34000000	32000000	35000000	4.000000
optimized	ERR1203383	SE	MATE_RESCUE	SAM_FORMAT	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan
optimized	ERR1203383	SE	PAIRING	SAM_FORMAT	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan
optimized	ERR1203383	SE	SAM_FORMAT	WORKER_ALIGNMENT	1	520000000	494000000	540000000	59000000	56000000	63000000	0	0	0	0	0	0	9370000	8845000	9875000	28000	26000	31000	0	0	0	391000000	370000000	410000000	8.813559
optimized	ERR1203383	SE	SAM_COPY		0	35000000	33000000	36000000	2320000	2172000	2446000	0	0	0	0	0	0	437000	409000	460000	17000	16000	18000	0	0	0	489000	458000	516000	15.086207
optimized	ERR1203383	SE	MEM_CHAIN_COLLECT	MEM_CHAIN	2	1630000000	1525000000	1690000000	565000000	533000000	589000000	0	0	0	0	0	0	30000000	28000000	31000000	990000	928000	1033000	0	0	0	507000000	477000000	533000000	2.884956
optimized	ERR1203383	SE	MEM_CHAIN_BUILD	MEM_CHAIN	2	785000000	757000000	826000000	194000000	185000000	208000000	0	0	0	0	0	0	13000000	12000000	14000000	485000	458000	527000	0	0	0	106000000	103000000	109000000	4.046392
optimized	ERR1203383	SE	CHAIN_EXTENSION_DP	CHAIN_EXTENSION	2	214000000	175000000	276000000	137000000	106000000	185000000	0	0	0	0	0	0	20000000	16000000	27000000	5988	4683	7947	0	0	0	61000000	53000000	75000000	1.562044
optimized	ERR1203383	SE	MATE_REF_FETCH	MATE_RESCUE	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan
optimized	ERR1203383	SE	MATE_KSW_ALIGN	MATE_RESCUE	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan
optimized	ERR1203383	SE	KSW_QUERY_INIT_FORWARD	MATE_KSW_ALIGN	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan
optimized	ERR1203383	SE	KSW_DP_FORWARD	MATE_KSW_ALIGN	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan
