cfg	dataset	mode	kernel	new_cyc	share_of_new_total_pct
single	SRR2496709	PE	MEM_CHAIN	3.420e+11	50.9
single	SRR2496709	PE	CHAIN_FILTER	2.000e+10	3.0
single	SRR2496709	PE	CHAIN_EXTENSION	9.200e+10	13.7
single	SRR2496709	PE	ALIGNMENT_FINALIZE	9.452e+09	1.4
single	SRR2496709	PE	MATE_RESCUE	1.430e+11	21.3
single	SRR2496709	PE	PAIRING	4.715e+09	0.7
single	SRR2496709	PE	SAM_FORMAT	1.980e+11	29.5
single	SRR2496709	PE	SAM_COPY	5.659e+09	0.8
single	SRR2496709	PE	MEM_CHAIN_COLLECT	2.030e+11	30.2
single	SRR2496709	PE	MEM_CHAIN_BUILD	1.350e+11	20.1
single	SRR2496709	PE	CHAIN_EXTENSION_DP	6.600e+10	9.8
single	SRR2496709	PE	MATE_REF_FETCH	1.759e+09	0.3
single	SRR2496709	PE	MATE_KSW_ALIGN	1.100e+11	16.4
single	SRR2496709	PE	KSW_QUERY_INIT_FORWARD	3.393e+09	0.5
single	SRR2496709	PE	KSW_DP_FORWARD	9.100e+10	13.5
single	SRR2496709	PE	KSW_QUERY_INIT_REVERSE	1.284e+09	0.2
single	SRR2496709	PE	KSW_DP_REVERSE	1.200e+10	1.8
single	SRR2496709	PE	MATE_DEDUP	2.100e+10	3.1
single	SRR2496709	PE	DEDUP_SORT_END	7.250e+09	1.1
single	SRR2496709	PE	DEDUP_REDUNDANCY	2.000e+09	0.3
single	SRR2496709	PE	DEDUP_SORT_SCORE	1.200e+10	1.8
single	SRR2496709	PE	MEM_COLLECT_FIRST	8.400e+10	12.5
single	SRR2496709	PE	MEM_COLLECT_SPLIT	6.000e+10	8.9
single	SRR2496709	PE	MEM_COLLECT_LAST	5.300e+10	7.9
single	SRR2496709	PE	MEM_COLLECT_SORT	4.768e+09	0.7
single	SRR2496709	PE	CHAIN_BUILD_REPETITIVE	6.440e+08	0.1
single	SRR2496709	PE	CHAIN_BUILD_SA	9.600e+10	14.3
single	SRR2496709	PE	CHAIN_BUILD_RID	9.422e+09	1.4
single	SRR2496709	PE	CHAIN_BUILD_TREE_SEARCH	2.318e+09	0.3
single	SRR2496709	PE	CHAIN_BUILD_MERGE	1.035e+09	0.2
single	SRR2496709	PE	CHAIN_BUILD_INSERT	1.600e+10	2.4
single	SRR2496709	PE	CHAIN_BUILD_FINALIZE	6.858e+09	1.0
single	SRR2496709	SE	WORKER_ALIGNMENT	2.610e+11	98.8
single	SRR2496709	SE	MEM_CHAIN	1.740e+11	65.9
single	SRR2496709	SE	CHAIN_FILTER	9.760e+09	3.7
single	SRR2496709	SE	CHAIN_EXTENSION	4.300e+10	16.3
single	SRR2496709	SE	ALIGNMENT_FINALIZE	4.720e+09	1.8
single	SRR2496709	SE	MATE_RESCUE	0.000e+00	0.0
single	SRR2496709	SE	PAIRING	0.000e+00	0.0
single	SRR2496709	SE	SAM_FORMAT	2.600e+10	9.8
single	SRR2496709	SE	SAM_COPY	3.225e+09	1.2
single	SRR2496709	SE	MEM_CHAIN_COLLECT	1.020e+11	38.6
single	SRR2496709	SE	MEM_CHAIN_BUILD	7.000e+10	26.5
single	SRR2496709	SE	CHAIN_EXTENSION_DP	3.000e+10	11.4
single	SRR2496709	SE	MATE_REF_FETCH	0.000e+00	0.0
single	SRR2496709	SE	MATE_KSW_ALIGN	0.000e+00	0.0
single	SRR2496709	SE	KSW_QUERY_INIT_FORWARD	0.000e+00	0.0
single	SRR2496709	SE	KSW_DP_FORWARD	0.000e+00	0.0
single	SRR2496709	SE	KSW_QUERY_INIT_REVERSE	0.000e+00	0.0
