cfg	dataset	mode	variant	kernel	cycle_avg
cross	small_SRR7963242	SE	new_p	CHAIN_BUILD_MERGE	190000000
cross	small_SRR7963242	SE	new_p	CHAIN_BUILD_INSERT	2148000000
cross	small_SRR7963242	SE	new_p	CHAIN_BUILD_FINALIZE	1444000000
cross	small_SRR7963242	SE	old_p	WORKER_ALIGNMENT	107000000000
cross	small_SRR7963242	SE	old_p	MEM_CHAIN	55000000000
cross	small_SRR7963242	SE	old_p	CHAIN_FILTER	6634000000
cross	small_SRR7963242	SE	old_p	CHAIN_EXTENSION	36000000000
cross	small_SRR7963242	SE	old_p	ALIGNMENT_FINALIZE	2363000000
cross	small_SRR7963242	SE	old_p	MATE_RESCUE	0
cross	small_SRR7963242	SE	old_p	PAIRING	0
cross	small_SRR7963242	SE	old_p	SAM_FORMAT	5746000000
cross	small_SRR7963242	SE	old_p	SAM_COPY	414000000
single	ERR1203383	PE	new_p	WORKER_ALIGNMENT	661000000000
single	ERR1203383	PE	new_p	MEM_CHAIN	321000000000
single	ERR1203383	PE	new_p	CHAIN_FILTER	26000000000
single	ERR1203383	PE	new_p	CHAIN_EXTENSION	65000000000
single	ERR1203383	PE	new_p	ALIGNMENT_FINALIZE	11000000000
single	ERR1203383	PE	new_p	MATE_RESCUE	179000000000
single	ERR1203383	PE	new_p	PAIRING	5750000000
single	ERR1203383	PE	new_p	SAM_FORMAT	233000000000
single	ERR1203383	PE	new_p	SAM_COPY	6027000000
single	ERR1203383	PE	new_p	MEM_CHAIN_COLLECT	182000000000
single	ERR1203383	PE	new_p	MEM_CHAIN_BUILD	134000000000
single	ERR1203383	PE	new_p	CHAIN_EXTENSION_DP	38000000000
single	ERR1203383	PE	new_p	MATE_REF_FETCH	2355000000
single	ERR1203383	PE	new_p	MATE_KSW_ALIGN	117000000000
single	ERR1203383	PE	new_p	KSW_QUERY_INIT_FORWARD	4034000000
single	ERR1203383	PE	new_p	KSW_DP_FORWARD	96000000000
single	ERR1203383	PE	new_p	KSW_QUERY_INIT_REVERSE	1957000000
single	ERR1203383	PE	new_p	KSW_DP_REVERSE	13000000000
single	ERR1203383	PE	new_p	MATE_DEDUP	46000000000
single	ERR1203383	PE	new_p	DEDUP_SORT_END	15000000000
single	ERR1203383	PE	new_p	DEDUP_REDUNDANCY	3854000000
single	ERR1203383	PE	new_p	DEDUP_SORT_SCORE	26000000000
single	ERR1203383	PE	new_p	MEM_COLLECT_FIRST	65000000000
single	ERR1203383	PE	new_p	MEM_COLLECT_SPLIT	65000000000
single	ERR1203383	PE	new_p	MEM_COLLECT_LAST	47000000000
single	ERR1203383	PE	new_p	MEM_COLLECT_SORT	4398000000
single	ERR1203383	PE	new_p	CHAIN_BUILD_REPETITIVE	737000000
single	ERR1203383	PE	new_p	CHAIN_BUILD_SA	92000000000
single	ERR1203383	PE	new_p	CHAIN_BUILD_RID	9306000000
single	ERR1203383	PE	new_p	CHAIN_BUILD_TREE_SEARCH	2273000000
single	ERR1203383	PE	new_p	CHAIN_BUILD_MERGE	961000000
single	ERR1203383	PE	new_p	CHAIN_BUILD_INSERT	18000000000
single	ERR1203383	PE	new_p	CHAIN_BUILD_FINALIZE	7252000000
single	ERR1203383	PE	old_p	WORKER_ALIGNMENT	865000000000
single	ERR1203383	PE	old_p	MEM_CHAIN	340000000000
single	ERR1203383	PE	old_p	CHAIN_FILTER	30000000000
single	ERR1203383	PE	old_p	CHAIN_EXTENSION	70000000000
single	ERR1203383	PE	old_p	ALIGNMENT_FINALIZE	27000000000
single	ERR1203383	PE	old_p	MATE_RESCUE	334000000000
single	ERR1203383	PE	old_p	PAIRING	6954000000
single	ERR1203383	PE	old_p	SAM_FORMAT	386000000000
single	ERR1203383	PE	old_p	SAM_COPY	5938000000
single	ERR1203383	SE	new_p	WORKER_ALIGNMENT	256000000000
single	ERR1203383	SE	new_p	MEM_CHAIN	174000000000
single	ERR1203383	SE	new_p	CHAIN_FILTER	13000000000
single	ERR1203383	SE	new_p	CHAIN_EXTENSION	32000000000
single	ERR1203383	SE	new_p	ALIGNMENT_FINALIZE	5827000000
single	ERR1203383	SE	new_p	MATE_RESCUE	0
single	ERR1203383	SE	new_p	PAIRING	0
single	ERR1203383	SE	new_p	SAM_FORMAT	27000000000
